ANO_CENSO;IDADE;MASCULINO;FEMININO
2000;Mais de 100 anos;157;274
2000;95 a 99 anos;212;676
2000;90 a 94 anos;578;1862
2000;85 a 89 anos;1798;4513
2000;80 a 84 anos;3561;7670
2000;75 a 79 anos;6883;12647
2000;70 a 74 anos;10968;19390
2000;65 a 69 anos;15580;24579
2000;60 a 64 anos;22415;31273
2000;55 a 59 anos;28759;37416
2000;50 a 54 anos;44285;52604
2000;45 a 49 anos;58399;69317
2000;40 a 44 anos;75879;88589
2000;35 a 39 anos;88070;103160
2000;30 a 34 anos;96322;111656
2000;25 a 29 anos;106027;121675
2000;20 a 24 anos;129719;145780
2000;15 a 19 anos;137146;144792
2000;10 a 14 anos;112301;111445
2000;05 a 9 anos;104697;101614
2000;0 a 4 anos;106496;101923
2010;Mais de 100 anos;74;305
2010;95 a 99 anos;303;1081
2010;90 a 94 anos;1006;3084
2010;85 a 89 anos;2917;7147
2010;80 a 84 anos;5975;13532
2010;75 a 79 anos;10006;19077
2010;70 a 74 anos;16287;26578
2010;65 a 69 anos;22900;33970
2010;60 a 64 anos;36021;47383
2010;55 a 59 anos;50628;64067
2010;50 a 54 anos;67662;83172
2010;45 a 49 anos;79823;96631
2010;40 a 44 anos;91189;107458
2010;35 a 39 anos;100370;117105
2010;30 a 34 anos;122238;140966
2010;25 a 29 anos;134453;151337
2010;20 a 24 anos;120203;131349
2010;15 a 19 anos;106749;109809
2010;10 a 14 anos;105906;103013
2010;05 a 9 anos;90576;88037
2010;0 a 4 anos;83611;81658
1991;0 a 4 anos;103133;99255
1991;05 a 9 anos;123926;120993
1991;10 a 14 anos;123947;127930
1991;15 a 19 anos;103209;121012
1991;20 a 24 anos;100603;116727
1991;25 a 29 anos;93270;108947
1991;30 a 34 anos;82127;93635
1991;35 a 39 anos;65680;75543
1991;40 a 44 anos;52828;57863
1991;45 a 49 anos;35617;42118
1991;50 a 54 anos;28635;35013
1991;55 a 59 anos;20833;27863
1991;60 a 64 anos;16341;24129
1991;65 a 69 anos;11771;17404
1991;70 a 74 anos;7042;11770
1991;75 a 79 anos;4541;8638
1991;80 anos ou mais;3756;9174
